时间,数值
2025-07-27 15:15:20.927,2700.0
2025-07-27 15:15:20.928,2815.0
2025-07-27 15:15:20.958,3055.0
2025-07-27 15:15:20.959,3145.0
2025-07-27 15:15:20.960,2895.0
2025-07-27 15:15:20.961,2805.0
2025-07-27 15:15:20.962,3010.0
2025-07-27 15:15:20.993,3045.0
2025-07-27 15:15:20.994,2875.0
2025-07-27 15:15:20.995,2800.0
2025-07-27 15:15:20.995,3070.0
2025-07-27 15:15:20.996,3095.0
2025-07-27 15:15:20.996,2845.0
2025-07-27 15:15:21.027,3030.0
2025-07-27 15:15:21.027,2915.0
2025-07-27 15:15:21.029,2935.0
2025-07-27 15:15:21.029,2705.0
2025-07-27 15:15:21.030,2800.0
2025-07-27 15:15:21.060,3115.0
2025-07-27 15:15:21.061,3220.0
2025-07-27 15:15:21.063,2940.0
2025-07-27 15:15:21.063,2955.0
2025-07-27 15:15:21.064,2955.0
2025-07-27 15:15:21.094,2915.0
2025-07-27 15:15:21.096,2790.0
2025-07-27 15:15:21.096,2780.0
2025-07-27 15:15:21.097,3140.0
2025-07-27 15:15:21.097,3125.0
2025-07-27 15:15:21.098,2870.0
2025-07-27 15:15:21.128,3030.0
2025-07-27 15:15:21.130,2930.0
2025-07-27 15:15:21.130,2945.0
2025-07-27 15:15:21.131,2715.0
2025-07-27 15:15:21.131,2805.0
2025-07-27 15:15:21.162,3055.0
2025-07-27 15:15:21.163,3180.0
2025-07-27 15:15:21.163,2920.0
2025-07-27 15:15:21.164,2950.0
2025-07-27 15:15:21.164,2950.0
2025-07-27 15:15:21.197,2895.0
2025-07-27 15:15:21.199,2790.0
2025-07-27 15:15:21.199,2830.0
2025-07-27 15:15:21.200,3185.0
2025-07-27 15:15:21.200,3070.0
2025-07-27 15:15:21.201,2840.0
2025-07-27 15:15:21.230,3010.0
2025-07-27 15:15:21.231,2930.0
2025-07-27 15:15:21.232,2995.0
2025-07-27 15:15:21.232,2730.0
2025-07-27 15:15:21.233,2845.0
2025-07-27 15:15:21.264,3075.0
2025-07-27 15:15:21.265,3150.0
2025-07-27 15:15:21.266,2900.0
2025-07-27 15:15:21.266,2930.0
2025-07-27 15:15:21.267,3040.0
2025-07-27 15:15:21.298,2955.0
2025-07-27 15:15:21.351,2795.0
2025-07-27 15:15:21.352,3020.0
2025-07-27 15:15:21.353,3110.0
2025-07-27 15:15:21.353,2965.0
2025-07-27 15:15:21.354,2765.0
2025-07-27 15:15:21.355,2755.0
2025-07-27 15:15:21.355,3075.0
2025-07-27 15:15:21.356,3205.0
2025-07-27 15:15:21.356,2870.0
2025-07-27 15:15:21.357,2965.0
2025-07-27 15:15:21.365,3045.0
2025-07-27 15:15:21.366,3045.0
2025-07-27 15:15:21.368,2825.0
2025-07-27 15:15:21.369,2870.0
2025-07-27 15:15:21.369,2945.0
2025-07-27 15:15:21.399,2970.0
2025-07-27 15:15:21.400,2825.0
2025-07-27 15:15:21.401,2795.0
2025-07-27 15:15:21.402,3050.0
2025-07-27 15:15:21.403,3120.0
2025-07-27 15:15:21.404,2880.0
2025-07-27 15:15:21.434,3010.0
2025-07-27 15:15:21.435,2915.0
2025-07-27 15:15:21.436,2975.0
2025-07-27 15:15:21.437,2730.0
2025-07-27 15:15:21.438,2820.0
2025-07-27 15:15:21.466,3055.0
2025-07-27 15:15:21.468,3105.0
2025-07-27 15:15:21.470,2860.0
2025-07-27 15:15:21.470,2795.0
2025-07-27 15:15:21.471,3035.0
2025-07-27 15:15:21.501,3090.0
2025-07-27 15:15:21.503,2900.0
2025-07-27 15:15:21.503,2990.0
2025-07-27 15:15:21.504,3035.0
